## vapor pressure coefficients
## From: https://www.govinfo.gov/content/pkg/GOVPUB-C13-5acaa32352b3605dafcec321793dd649/pdf/GOVPUB-C13-5acaa32352b3605dafcec321793dd649.pdf
## Fitting function: ln P = Sum_i={1,14} B_i T^(2-i)
B1,-49.5105403560
B2,651.9236417000
B3,-3707.5430856000
B4,12880.6734910000
B5,-30048.5455540000
B6,49532.2674360000
B7,-59337.5585480000
B8,52311.2960250000
B9,-33950.2331340000
B10,16028.6740030000
B11,-5354.1038967000
B12,1199.0301906000
B13,-161.4636295900
B14,9.8811553386
