## vapor pressure vs temperature
## From: https://www.govinfo.gov/content/pkg/GOVPUB-C13-5acaa32352b3605dafcec321793dd649/pdf/GOVPUB-C13-5acaa32352b3605dafcec321793dd649.pdf
## T [K], P []
0.1,4.83950000E-35
0.2,1.00860000E-18
0.3,4.29180000E-13
0.4,3.46260000E-10
0.5,2.17920000E-08
0.6,3.74960000E-07
0.7,3.03850000E-06
0.8,1.52580000E-05
0.9,5.54360000E-05
1,1.60010000E-04
1.1,3.89670000E-04
1.2,8.33570000E-04
1.3,1.61230000E-03
1.4,2.87560000E-03
1.5,4.80120000E-03
1.6,7.58890000E-03
1.7,1.14550000E-02
1.8,1.66160000E-02
1.9,2.32810000E-02
2,3.16920000E-02
2.1,4.17800000E-02
